model,audio,audio_path,naturalness,clarity,pronunciation,consistency
sarvam,english_25.wav,outputs\sarvam\english\english_25.wav,3,4,3,4
sarvam,english_26.wav,outputs\sarvam\english\english_26.wav,3,4,3,4
sarvam,english_27.wav,outputs\sarvam\english\english_27.wav,3,4,3,4
sarvam,english_28.wav,outputs\sarvam\english\english_28.wav,3,3,3,4
sarvam,english_29.wav,outputs\sarvam\english\english_29.wav,4,4,5,5
sarvam,english_30.wav,outputs\sarvam\english\english_30.wav,4,4,5,5
sarvam,english_31.wav,outputs\sarvam\english\english_31.wav,4,4,5,5
sarvam,english_32.wav,outputs\sarvam\english\english_32.wav,4,4,5,5
sarvam,english_33.wav,outputs\sarvam\english\english_33.wav,4,4,5,5
sarvam,english_34.wav,outputs\sarvam\english\english_34.wav,4,4,5,5
sarvam,english_35.wav,outputs\sarvam\english\english_35.wav,4,4,5,5
sarvam,english_36.wav,outputs\sarvam\english\english_36.wav,4,4,4,5
sarvam,english_37.wav,outputs\sarvam\english\english_37.wav,4,4,4,4
sarvam,english_38.wav,outputs\sarvam\english\english_38.wav,4,4,3,4
sarvam,english_39.wav,outputs\sarvam\english\english_39.wav,4,4,4,5
elevenlabs,english_38.mp3,outputs\elevenlabs\english\english_38.mp3,4,4,3,3
elevenlabs,english_39.mp3,outputs\elevenlabs\english\english_39.mp3,2,4,4,4
elevenlabs,english_40.mp3,outputs\elevenlabs\english\english_40.mp3,2,4,4,4
elevenlabs,english_41.mp3,outputs\elevenlabs\english\english_41.mp3,2,4,4,4
elevenlabs,english_42.mp3,outputs\elevenlabs\english\english_42.mp3,2,4,4,4
elevenlabs,english_43.mp3,outputs\elevenlabs\english\english_43.mp3,2,4,4,4
elevenlabs,english_44.mp3,outputs\elevenlabs\english\english_44.mp3,2,4,4,4
elevenlabs,english_45.mp3,outputs\elevenlabs\english\english_45.mp3,2,5,5,5
elevenlabs,english_46.mp3,outputs\elevenlabs\english\english_46.mp3,2,4,4,4
elevenlabs,english_47.mp3,outputs\elevenlabs\english\english_47.mp3,2,4,4,4
elevenlabs,english_48.mp3,outputs\elevenlabs\english\english_48.mp3,2,4,3,4
elevenlabs,english_49.mp3,outputs\elevenlabs\english\english_49.mp3,2,4,3,4
elevenlabs,english_50.mp3,outputs\elevenlabs\english\english_50.mp3,2,4,3,4
elevenlabs,english_51.mp3,outputs\elevenlabs\english\english_51.mp3,2,4,4,4
elevenlabs,english_52.mp3,outputs\elevenlabs\english\english_52.mp3,2,4,4,4
elevenlabs,english_53.mp3,outputs\elevenlabs\english\english_53.mp3,2,4,4,4
elevenlabs,english_54.mp3,outputs\elevenlabs\english\english_54.mp3,2,4,5,4
elevenlabs,english_55.mp3,outputs\elevenlabs\english\english_55.mp3,2,5,5,4
elevenlabs,english_56.mp3,outputs\elevenlabs\english\english_56.mp3,2,5,5,4
elevenlabs,english_57.mp3,outputs\elevenlabs\english\english_57.mp3,3,3,3,3
elevenlabs,english_58.mp3,outputs\elevenlabs\english\english_58.mp3,3,4,4,4
elevenlabs,english_59.mp3,outputs\elevenlabs\english\english_59.mp3,3,5,5,5
elevenlabs,english_60.mp3,outputs\elevenlabs\english\english_60.mp3,3,5,5,5
elevenlabs,english_61.mp3,outputs\elevenlabs\english\english_61.mp3,2,5,5,5
elevenlabs,english_62.mp3,outputs\elevenlabs\english\english_62.mp3,2,5,5,5
elevenlabs,english_63.mp3,outputs\elevenlabs\english\english_63.mp3,2,5,5,5
elevenlabs,english_64.mp3,outputs\elevenlabs\english\english_64.mp3,2,5,4,4
elevenlabs,english_65.mp3,outputs\elevenlabs\english\english_65.mp3,2,5,4,4
elevenlabs,english_66.mp3,outputs\elevenlabs\english\english_66.mp3,2,5,5,5
elevenlabs,english_67.mp3,outputs\elevenlabs\english\english_67.mp3,2,5,5,5
elevenlabs,english_68.mp3,outputs\elevenlabs\english\english_68.mp3,2,5,5,5
elevenlabs,english_69.mp3,outputs\elevenlabs\english\english_69.mp3,2,5,5,5
sarvam,english_40.wav,outputs\sarvam\english\english_40.wav,3,5,5,4
sarvam,english_41.wav,outputs\sarvam\english\english_41.wav,3,5,4,4
sarvam,english_42.wav,outputs\sarvam\english\english_42.wav,3,5,3,4
sarvam,english_43.wav,outputs\sarvam\english\english_43.wav,3,5,3,4
sarvam,english_44.wav,outputs\sarvam\english\english_44.wav,3,5,3,4
sarvam,english_45.wav,outputs\sarvam\english\english_45.wav,3,5,4,4
sarvam,english_46.wav,outputs\sarvam\english\english_46.wav,4,5,5,5
sarvam,english_47.wav,outputs\sarvam\english\english_47.wav,4,5,5,5
sarvam,english_48.wav,outputs\sarvam\english\english_48.wav,4,5,4,5
sarvam,english_49.wav,outputs\sarvam\english\english_49.wav,4,5,5,5
sarvam,english_50.wav,outputs\sarvam\english\english_50.wav,4,5,5,5
sarvam,english_51.wav,outputs\sarvam\english\english_51.wav,4,5,5,4
sarvam,english_52.wav,outputs\sarvam\english\english_52.wav,4,5,5,5
sarvam,english_53.wav,outputs\sarvam\english\english_53.wav,5,5,5,5
sarvam,english_54.wav,outputs\sarvam\english\english_54.wav,5,5,4,5
sarvam,english_55.wav,outputs\sarvam\english\english_55.wav,5,5,4,5
sarvam,english_56.wav,outputs\sarvam\english\english_56.wav,5,5,4,4
sarvam,english_57.wav,outputs\sarvam\english\english_57.wav,5,5,5,5
sarvam,english_58.wav,outputs\sarvam\english\english_58.wav,5,5,5,5
sarvam,english_59.wav,outputs\sarvam\english\english_59.wav,5,5,5,5
sarvam,english_60.wav,outputs\sarvam\english\english_60.wav,5,5,5,5
sarvam,english_61.wav,outputs\sarvam\english\english_61.wav,4,4,5,4
sarvam,english_62.wav,outputs\sarvam\english\english_62.wav,5,5,5,5
sarvam,english_63.wav,outputs\sarvam\english\english_63.wav,5,5,5,5
sarvam,english_64.wav,outputs\sarvam\english\english_64.wav,5,5,5,5
sarvam,english_65.wav,outputs\sarvam\english\english_65.wav,5,5,4,5
sarvam,english_66.wav,outputs\sarvam\english\english_66.wav,5,5,4,5
sarvam,english_67.wav,outputs\sarvam\english\english_67.wav,5,5,4,5
sarvam,english_68.wav,outputs\sarvam\english\english_68.wav,5,5,4,5
sarvam,english_69.wav,outputs\sarvam\english\english_69.wav,5,5,5,5
sarvam,english_70.wav,outputs\sarvam\english\english_70.wav,5,5,5,5
sarvam,english_71.wav,outputs\sarvam\english\english_71.wav,5,5,5,5
sarvam,english_72.wav,outputs\sarvam\english\english_72.wav,5,5,5,5
sarvam,english_73.wav,outputs\sarvam\english\english_73.wav,5,5,5,5
sarvam,english_74.wav,outputs\sarvam\english\english_74.wav,5,5,5,5
sarvam,english_75.wav,outputs\sarvam\english\english_75.wav,5,5,5,5
sarvam,english_76.wav,outputs\sarvam\english\english_76.wav,5,5,5,5
sarvam,english_77.wav,outputs\sarvam\english\english_77.wav,4,5,5,4
sarvam,english_78.wav,outputs\sarvam\english\english_78.wav,4,5,4,4
sarvam,english_79.wav,outputs\sarvam\english\english_79.wav,5,5,4,5
sarvam,english_80.wav,outputs\sarvam\english\english_80.wav,5,5,4,4
sarvam,english_81.wav,outputs\sarvam\english\english_81.wav,5,5,5,5
sarvam,english_82.wav,outputs\sarvam\english\english_82.wav,5,5,5,5
elevenlabs,english_70.mp3,outputs\elevenlabs\english\english_70.mp3,3,5,5,5
elevenlabs,english_71.mp3,outputs\elevenlabs\english\english_71.mp3,3,5,5,5
elevenlabs,english_72.mp3,outputs\elevenlabs\english\english_72.mp3,3,5,5,5
elevenlabs,english_73.mp3,outputs\elevenlabs\english\english_73.mp3,3,5,5,5
elevenlabs,english_74.mp3,outputs\elevenlabs\english\english_74.mp3,3,5,5,5
elevenlabs,english_75.mp3,outputs\elevenlabs\english\english_75.mp3,3,5,5,5
elevenlabs,english_76.mp3,outputs\elevenlabs\english\english_76.mp3,3,5,5,5
elevenlabs,english_77.mp3,outputs\elevenlabs\english\english_77.mp3,3,5,5,5
elevenlabs,english_78.mp3,outputs\elevenlabs\english\english_78.mp3,3,5,5,5
elevenlabs,english_79.mp3,outputs\elevenlabs\english\english_79.mp3,3,5,5,5
elevenlabs,english_80.mp3,outputs\elevenlabs\english\english_80.mp3,3,5,5,5
elevenlabs,english_81.mp3,outputs\elevenlabs\english\english_81.mp3,3,5,5,5
elevenlabs,english_82.mp3,outputs\elevenlabs\english\english_82.mp3,3,5,5,5
elevenlabs,hindi_0.mp3,outputs\elevenlabs\hindi\hindi_0.mp3,2,4,2,4
sarvam,hindi_0.wav,outputs\sarvam\hindi\hindi_0.wav,3,4,3,4
elevenlabs,hindi_1.mp3,outputs\elevenlabs\hindi\hindi_1.mp3,2,3,2,4
elevenlabs,hindi_3.mp3,outputs\elevenlabs\hindi\hindi_3.mp3,2,3,2,4
elevenlabs,hindi_4.mp3,outputs\elevenlabs\hindi\hindi_4.mp3,2,3,3,4
elevenlabs,hindi_5.mp3,outputs\elevenlabs\hindi\hindi_5.mp3,2,3,3,3
elevenlabs,hindi_6.mp3,outputs\elevenlabs\hindi\hindi_6.mp3,2,3,3,3
elevenlabs,hindi_7.mp3,outputs\elevenlabs\hindi\hindi_7.mp3,2,3,3,3
elevenlabs,hindi_2.mp3,outputs\elevenlabs\hindi\hindi_2.mp3,3,3,3,3
elevenlabs,hindi_8.mp3,outputs\elevenlabs\hindi\hindi_8.mp3,2,3,3,3
elevenlabs,hindi_9.mp3,outputs\elevenlabs\hindi\hindi_9.mp3,2,3,3,4
elevenlabs,hindi_10.mp3,outputs\elevenlabs\hindi\hindi_10.mp3,2,3,3,4
elevenlabs,hindi_11.mp3,outputs\elevenlabs\hindi\hindi_11.mp3,2,3,3,3
elevenlabs,hindi_12.mp3,outputs\elevenlabs\hindi\hindi_12.mp3,2,3,4,3
elevenlabs,hindi_13.mp3,outputs\elevenlabs\hindi\hindi_13.mp3,2,3,4,3
elevenlabs,hindi_14.mp3,outputs\elevenlabs\hindi\hindi_14.mp3,2,4,4,4
elevenlabs,hindi_15.mp3,outputs\elevenlabs\hindi\hindi_15.mp3,2,4,4,3
elevenlabs,hindi_16.mp3,outputs\elevenlabs\hindi\hindi_16.mp3,2,4,4,3
elevenlabs,hindi_17.mp3,outputs\elevenlabs\hindi\hindi_17.mp3,2,4,4,3
elevenlabs,hindi_18.mp3,outputs\elevenlabs\hindi\hindi_18.mp3,2,4,3,3
elevenlabs,hindi_19.mp3,outputs\elevenlabs\hindi\hindi_19.mp3,2,3,2,3
elevenlabs,hindi_20.mp3,outputs\elevenlabs\hindi\hindi_20.mp3,2,3,3,3
elevenlabs,hindi_21.mp3,outputs\elevenlabs\hindi\hindi_21.mp3,2,4,3,3
elevenlabs,hindi_22.mp3,outputs\elevenlabs\hindi\hindi_22.mp3,2,4,3,3
elevenlabs,hindi_23.mp3,outputs\elevenlabs\hindi\hindi_23.mp3,2,4,4,4
elevenlabs,hindi_24.mp3,outputs\elevenlabs\hindi\hindi_24.mp3,2,4,4,4
sarvam,hindi_1.wav,outputs\sarvam\hindi\hindi_1.wav,3,4,4,4
sarvam,hindi_2.wav,outputs\sarvam\hindi\hindi_2.wav,4,4,4,4
sarvam,hindi_3.wav,outputs\sarvam\hindi\hindi_3.wav,4,4,4,4
sarvam,hindi_4.wav,outputs\sarvam\hindi\hindi_4.wav,4,4,4,4
sarvam,hindi_5.wav,outputs\sarvam\hindi\hindi_5.wav,4,5,5,5
sarvam,hindi_6.wav,outputs\sarvam\hindi\hindi_6.wav,4,5,4,5
sarvam,hindi_7.wav,outputs\sarvam\hindi\hindi_7.wav,4,5,5,5
sarvam,hindi_8.wav,outputs\sarvam\hindi\hindi_8.wav,4,4,4,5
sarvam,hindi_9.wav,outputs\sarvam\hindi\hindi_9.wav,4,4,4,5
sarvam,hindi_10.wav,outputs\sarvam\hindi\hindi_10.wav,4,4,4,5
sarvam,hindi_11.wav,outputs\sarvam\hindi\hindi_11.wav,4,5,1,5
sarvam,hindi_12.wav,outputs\sarvam\hindi\hindi_12.wav,4,5,1,5
sarvam,hindi_13.wav,outputs\sarvam\hindi\hindi_13.wav,4,5,5,5
sarvam,hindi_14.wav,outputs\sarvam\hindi\hindi_14.wav,4,5,5,5
sarvam,hindi_15.wav,outputs\sarvam\hindi\hindi_15.wav,4,5,5,5
sarvam,hindi_16.wav,outputs\sarvam\hindi\hindi_16.wav,4,5,5,5
sarvam,hindi_17.wav,outputs\sarvam\hindi\hindi_17.wav,4,5,5,5
sarvam,hindi_18.wav,outputs\sarvam\hindi\hindi_18.wav,4,5,5,5
sarvam,hindi_19.wav,outputs\sarvam\hindi\hindi_19.wav,4,5,5,5
sarvam,hindi_20.wav,outputs\sarvam\hindi\hindi_20.wav,4,5,4,5
sarvam,hindi_21.wav,outputs\sarvam\hindi\hindi_21.wav,4,5,4,5
sarvam,hindi_22.wav,outputs\sarvam\hindi\hindi_22.wav,4,5,5,5
sarvam,hindi_23.wav,outputs\sarvam\hindi\hindi_23.wav,4,5,5,5
sarvam,hindi_24.wav,outputs\sarvam\hindi\hindi_24.wav,4,5,5,5
sarvam,hindi_25.wav,outputs\sarvam\hindi\hindi_25.wav,4,5,5,5
elevenlabs,hindi_25.mp3,outputs\elevenlabs\hindi\hindi_25.mp3,2,5,5,4
elevenlabs,hindi_26.mp3,outputs\elevenlabs\hindi\hindi_26.mp3,2,5,5,4
elevenlabs,hindi_27.mp3,outputs\elevenlabs\hindi\hindi_27.mp3,2,5,5,4
elevenlabs,hindi_28.mp3,outputs\elevenlabs\hindi\hindi_28.mp3,2,5,5,4
elevenlabs,hindi_29.mp3,outputs\elevenlabs\hindi\hindi_29.mp3,3,5,5,5
elevenlabs,hindi_30.mp3,outputs\elevenlabs\hindi\hindi_30.mp3,3,5,4,5
elevenlabs,hindi_31.mp3,outputs\elevenlabs\hindi\hindi_31.mp3,3,5,1,5
elevenlabs,hindi_32.mp3,outputs\elevenlabs\hindi\hindi_32.mp3,3,5,4,5
elevenlabs,hindi_33.mp3,outputs\elevenlabs\hindi\hindi_33.mp3,3,5,4,5
elevenlabs,hindi_34.mp3,outputs\elevenlabs\hindi\hindi_34.mp3,3,5,5,5
elevenlabs,hindi_35.mp3,outputs\elevenlabs\hindi\hindi_35.mp3,3,5,5,5
elevenlabs,hindi_36.mp3,outputs\elevenlabs\hindi\hindi_36.mp3,3,5,5,5
elevenlabs,hindi_37.mp3,outputs\elevenlabs\hindi\hindi_37.mp3,3,5,5,4
elevenlabs,hindi_38.mp3,outputs\elevenlabs\hindi\hindi_38.mp3,2,4,5,4
elevenlabs,hindi_39.mp3,outputs\elevenlabs\hindi\hindi_39.mp3,3,4,5,5
sarvam,hindi_26.wav,outputs\sarvam\hindi\hindi_26.wav,4,5,5,5
sarvam,hindi_27.wav,outputs\sarvam\hindi\hindi_27.wav,4,5,5,5
sarvam,hindi_28.wav,outputs\sarvam\hindi\hindi_28.wav,4,5,4,5
sarvam,hindi_29.wav,outputs\sarvam\hindi\hindi_29.wav,4,4,3,4
sarvam,hindi_30.wav,outputs\sarvam\hindi\hindi_30.wav,4,5,5,5
sarvam,hindi_31.wav,outputs\sarvam\hindi\hindi_31.wav,3,5,4,5
sarvam,hindi_32.wav,outputs\sarvam\hindi\hindi_32.wav,3,5,5,5
sarvam,hindi_33.wav,outputs\sarvam\hindi\hindi_33.wav,4,5,5,5
sarvam,hindi_34.wav,outputs\sarvam\hindi\hindi_34.wav,4,5,5,5
sarvam,hindi_35.wav,outputs\sarvam\hindi\hindi_35.wav,4,5,5,5
sarvam,hindi_36.wav,outputs\sarvam\hindi\hindi_36.wav,4,5,5,5
sarvam,hindi_37.wav,outputs\sarvam\hindi\hindi_37.wav,4,5,4,5
sarvam,hindi_38.wav,outputs\sarvam\hindi\hindi_38.wav,4,5,5,5
sarvam,hindi_39.wav,outputs\sarvam\hindi\hindi_39.wav,4,5,5,5
elevenlabs,hindi_40.mp3,outputs\elevenlabs\hindi\hindi_40.mp3,3,5,5,5
elevenlabs,hindi_41.mp3,outputs\elevenlabs\hindi\hindi_41.mp3,3,5,5,5
elevenlabs,hindi_42.mp3,outputs\elevenlabs\hindi\hindi_42.mp3,3,5,5,5
elevenlabs,hindi_43.mp3,outputs\elevenlabs\hindi\hindi_43.mp3,3,5,5,5
elevenlabs,hindi_44.mp3,outputs\elevenlabs\hindi\hindi_44.mp3,3,5,5,5
elevenlabs,hindi_45.mp3,outputs\elevenlabs\hindi\hindi_45.mp3,3,5,5,5
elevenlabs,hindi_46.mp3,outputs\elevenlabs\hindi\hindi_46.mp3,3,5,4,4
elevenlabs,hindi_47.mp3,outputs\elevenlabs\hindi\hindi_47.mp3,3,5,4,4
elevenlabs,hindi_48.mp3,outputs\elevenlabs\hindi\hindi_48.mp3,3,5,3,4
elevenlabs,hindi_49.mp3,outputs\elevenlabs\hindi\hindi_49.mp3,3,5,5,4
sarvam,hindi_40.wav,outputs\sarvam\hindi\hindi_40.wav,4,4,5,3
sarvam,hindi_41.wav,outputs\sarvam\hindi\hindi_41.wav,4,5,5,5
sarvam,hindi_42.wav,outputs\sarvam\hindi\hindi_42.wav,4,5,5,5
sarvam,hindi_43.wav,outputs\sarvam\hindi\hindi_43.wav,4,5,5,5
sarvam,hindi_44.wav,outputs\sarvam\hindi\hindi_44.wav,4,5,5,5
sarvam,hindi_45.wav,outputs\sarvam\hindi\hindi_45.wav,5,5,5,5
sarvam,hindi_46.wav,outputs\sarvam\hindi\hindi_46.wav,5,5,5,5
sarvam,hindi_47.wav,outputs\sarvam\hindi\hindi_47.wav,4,5,5,4
sarvam,hindi_48.wav,outputs\sarvam\hindi\hindi_48.wav,4,5,5,4
sarvam,hindi_49.wav,outputs\sarvam\hindi\hindi_49.wav,4,5,4,4
